Date,Open,High,Low,Close,Adj Close,Volume
03/01/2007,5.1,5.1,5.04,5.08,4.800642,30700
04/01/2007,5.09,5.1,5.06,5.09,4.810093,101800
05/01/2007,5.09,5.1,5.05,5.1,4.819541,47500
08/01/2007,5.1,5.17,5.09,5.16,4.876242,33700
09/01/2007,5.13,5.49,5.11,5.45,5.150294,69900
10/01/2007,5.45,5.48,5.15,5.25,4.961293,169300
11/01/2007,5.18,5.44,5.18,5.2,4.914043,98700
12/01/2007,5.18,5.2,5.18,5.2,4.914043,26800
16/01/2007,5.27,5.35,5.12,5.22,4.932943,14000
17/01/2007,5.23,5.67,5.23,5.45,5.150294,128400
18/01/2007,5.45,5.55,5.45,5.5,5.197544,87400
19/01/2007,5.47,5.48,5.25,5.39,5.093595,64300
22/01/2007,5.45,5.47,5.35,5.4,5.103044,295800
23/01/2007,5.53,5.54,5.44,5.5,5.197544,30600
24/01/2007,5.51,5.55,5.32,5.4,5.103044,25100
25/01/2007,5.49,5.49,5.39,5.45,5.150294,37200
26/01/2007,5.42,5.51,5.42,5.5,5.197544,45800
29/01/2007,5.5,5.52,5.45,5.5,5.197544,26300
30/01/2007,5.5,5.53,5.46,5.53,5.225894,19700
31/01/2007,5.47,5.56,5.4,5.4,5.103044,75400
01/02/2007,5.35,5.41,5.35,5.4,5.103044,32300
02/02/2007,5.37,5.4,5.35,5.4,5.103044,10800
05/02/2007,5.39,5.4,5.37,5.39,5.093595,4500
06/02/2007,5.39,5.4,5.36,5.36,5.065244,22300
07/02/2007,5.31,5.4,5.31,5.38,5.084145,25500
08/02/2007,5.35,5.39,5.3,5.35,5.055794,40000
09/02/2007,5.5,6.22,5.5,6.08,5.74565,590500
12/02/2007,6.14,6.39,6.13,6.39,6.038602,247400
13/02/2007,6.39,6.44,6.29,6.4,6.048053,87800
14/02/2007,6.44,6.47,6.18,6.46,6.104753,75000
15/02/2007,6.49,6.8,6.49,6.7,6.331555,438100
16/02/2007,6.74,6.76,6.65,6.68,6.312654,201300
20/02/2007,6.74,6.75,6.67,6.74,6.369355,60100
21/02/2007,6.75,7.3,6.74,7.19,6.79461,553400
22/02/2007,7.28,7.3,7.16,7.19,6.79461,169500
23/02/2007,7.28,7.28,7.1,7.28,6.87966,112600
26/02/2007,7.28,7.29,7.18,7.29,6.889109,126100
27/02/2007,7.16,7.25,6.59,6.89,6.511106,232500
28/02/2007,6.72,7.15,6.5,7.01,6.624508,105100
01/03/2007,7.13,7.5,6.79,7.3,6.89856,264800
02/03/2007,7.23,7.43,7.2,7.34,6.936361,85600
05/03/2007,7.31,7.44,7.15,7.32,6.91746,76100
06/03/2007,7.47,7.47,7.3,7.35,6.94581,69700
07/03/2007,7.37,7.39,7.25,7.32,6.91746,26100
08/03/2007,7.18,7.24,6.65,7.19,6.79461,135700
09/03/2007,7.2,7.4,6.81,7.29,6.889109,201700
12/03/2007,7.34,7.91,7.3,7.76,7.333264,187800
13/03/2007,7.6,7.78,7.57,7.76,7.333264,176200
14/03/2007,7.76,7.8,7.55,7.72,7.295463,94800
15/03/2007,7.72,7.76,7.65,7.75,7.323814,139100
16/03/2007,7.75,7.98,7.67,7.7,7.276563,196500
19/03/2007,7.8,7.95,7.78,7.86,7.427765,135200
20/03/2007,7.86,7.96,7.81,7.9,7.465565,70600
21/03/2007,7.87,8.37,7.87,8.29,7.834116,148400
22/03/2007,8.28,8.28,7.98,8,7.560066,192900
23/03/2007,8,8.25,8,8.1,7.654569,107900
26/03/2007,8.2,8.35,8.16,8.28,7.824669,115800
27/03/2007,8.33,8.35,8.17,8.17,7.720717,67600
28/03/2007,8.15,8.26,8.11,8.11,7.664016,91400
29/03/2007,8.11,8.15,8.02,8.09,7.645117,73200
30/03/2007,8.09,8.1,7.94,8.09,7.645117,66400
02/04/2007,8,8.19,7.96,8.12,7.673468,106400
03/04/2007,8.12,8.45,8.1,8.43,7.96642,178000
04/04/2007,8.45,8.49,8.24,8.45,7.98532,49800
05/04/2007,8.46,8.56,8.23,8.31,7.853016,84700
09/04/2007,8.2,8.31,8,8.15,7.701818,115400
10/04/2007,7.95,8.26,7.9,8.26,7.805769,103300
11/04/2007,8.32,8.39,8.1,8.39,7.928619,133300
12/04/2007,8.29,8.37,8.12,8.3,7.843568,108300
13/04/2007,8.33,8.46,8.09,8.46,7.994771,78300
16/04/2007,8.46,8.55,8.43,8.55,8.079821,69900
17/04/2007,8.55,8.55,8.44,8.5,8.032568,47800
18/04/2007,8.5,8.55,8.4,8.55,8.079821,50100
19/04/2007,8.44,8.55,8.41,8.42,7.956972,23100
20/04/2007,8.47,8.47,8.26,8.3,7.843568,27800
23/04/2007,8.09,8.2,7.51,8.19,7.739617,95900
24/04/2007,8.16,8.26,8.1,8.11,7.664016,47400
25/04/2007,8.15,8.31,8.05,8.27,7.815217,48700
26/04/2007,8.32,8.32,8.08,8.22,7.767968,32100
27/04/2007,8.22,8.25,8.09,8.2,7.749068,66200
30/04/2007,8.15,8.2,7.97,8.17,7.720717,89300
01/05/2007,8.18,8.18,8.05,8.12,7.673468,53900
02/05/2007,7.89,8.22,7.89,8,7.560066,64400
03/05/2007,8.05,8.2,8.05,8.12,7.673468,52400
04/05/2007,8.16,8.16,8.06,8.07,7.626215,22100
07/05/2007,8.09,8.09,7.94,7.95,7.512816,120200
08/05/2007,7.93,8.25,7.87,8.12,7.673468,53600
09/05/2007,8.14,8.42,8.04,8.35,7.890819,111800
10/05/2007,8.29,8.85,8.17,8.8,8.316075,256900
11/05/2007,8.83,8.93,8.56,8.76,8.278272,79200
14/05/2007,8.93,8.93,8.36,8.38,7.91917,62700
15/05/2007,8.35,8.48,8.09,8.1,7.654569,81800
16/05/2007,7.99,8.06,7.67,7.71,7.286013,142400
17/05/2007,7.67,8,7.66,7.82,7.389964,116100
18/05/2007,7.87,7.99,7.6,7.74,7.314363,98000
21/05/2007,7.68,7.99,7.61,7.96,7.522266,102400
22/05/2007,7.96,7.98,7.77,7.89,7.456116,30100
23/05/2007,7.91,7.98,7.5,7.93,7.493916,24100
24/05/2007,7.93,7.93,7.83,7.91,7.475016,24600
25/05/2007,8,8,7.77,7.77,7.342713,26200
29/05/2007,7.75,7.84,7.73,7.75,7.323814,29400
30/05/2007,7.75,7.85,7.65,7.83,7.399415,56200
31/05/2007,7.82,7.88,7.63,7.63,7.210412,50600
01/06/2007,7.65,7.98,7.64,7.92,7.484464,41400
04/06/2007,7.97,8.03,7.79,8,7.560066,124400
05/06/2007,8,8.01,7.67,7.7,7.276563,41300
06/06/2007,7.8,7.89,7.65,7.89,7.456116,27700
07/06/2007,7.99,7.99,7.85,7.94,7.503366,55300
08/06/2007,7.94,7.94,7.64,7.66,7.238763,46000
11/06/2007,7.66,7.68,7.57,7.58,7.163163,167700
12/06/2007,7.57,7.6,7.53,7.53,7.115911,120600
13/06/2007,7.52,7.6,7.5,7.58,7.163163,29600
14/06/2007,7.78,7.78,7.52,7.64,7.219861,32200
15/06/2007,7.57,7.85,7.5,7.84,7.408865,90900
18/06/2007,7.94,8.03,7.86,8,7.560066,156900
19/06/2007,8,8.08,7.96,8.02,7.578967,120300
20/06/2007,8.11,8.35,7.94,8.29,7.834116,61100
21/06/2007,8.37,8.37,8,8.12,7.673468,30000
22/06/2007,8,8.15,8,8,7.560066,36100
25/06/2007,8.1,8.1,7.95,7.96,7.522266,59800
26/06/2007,7.95,8.03,7.65,7.74,7.314363,54900
27/06/2007,7.63,8.11,7.63,8.05,7.607316,68000
28/06/2007,8.12,8.3,8.1,8.1,7.654569,38200
29/06/2007,8.18,8.34,8.18,8.26,7.805769,54000
